,id,name,summary,host_id,host_since,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,street,neighbourhood_cleansed,city,state,zipcode,smart_location,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bed_type,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,first_review,last_review,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month,review_scores_rating_new,review_scores_accuracy_new,review_scores_cleanliness_new,review_scores_checkin_new,review_scores_communication_new,review_scores_location_new,review_scores_value_new,reviews_per_month_category,price_range
0,7087327,Historic DC Condo-Walk to Capitol!,"Professional pictures coming soon! Welcome to Hill Flats. Enjoy being across the street from the Library of Congress, short walk to US Capitol, museums and Union Station. Restaurants and bars a few blocks from our peaceful neighborhood.",15830506,21/05/2014,f,26,t,t,"3rd Street Southeast, Washington, DC 20003, United States","Capitol Hill, Lincoln Park",Washington,DC,20003,"Washington, DC",38.89004639,-77.0028081,t,House,Entire home/apt,4,Real Bed,160,100,115,1,0,1,1125,0,0,8,283,0,0,0,f,flexible,f,f,18,0,0,0,0,0,0,0,0,None,0150-0200
1,975833,Spacious Capitol Hill Townhouse,N/A,5338703,05/03/2013,f,1,t,f,"11th Street Southeast, Washington, DC 20003, United States","Capitol Hill, Lincoln Park",Washington,DC,20003,"Washington, DC",38.88041282,-76.99048487,t,House,Entire home/apt,6,Real Bed,350,0,100,1,0,2,30,12,38,68,343,65,22/03/2013,28/09/2015,f,strict,f,f,1,2.11,94,10,9,10,10,9,9,Medium,0350-0500
2,8249488,Spacious/private room for single,"This is an ideal room for a single traveler that is looking for a quiet environment. Close to metro stations for easy commute to and from the city. Previous guest include military officers, businessmen, International students, grad school students.",1487418,09/12/2011,f,2,t,t,"14th Place, Hyattsville, MD 20782, United States","Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",Hyattsville,MD,20782,"Hyattsville, MD",38.95529092,-76.98600574,t,House,Private room,1,Real Bed,50,0,0,1,0,2,1125,0,30,60,60,1,10/09/2015,10/09/2015,f,flexible,f,f,1,1,95,10,10,10,10,10,10,Medium,0050-0075
3,8409022,A wonderful bedroom with library,"Prime location right on the Potomac River in Washington DC.  Contentintal breakfast included, owners and 3 loveable small dogs will be present.  Enjoy the deck and direct river view and enjoy walking distance to metro, restaurants.",16970249,18/06/2014,f,1,t,f,"O St, Washington, DC 20024, United States","Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",Washington,DC,20024,"Washington, DC",38.87213388,-77.01963879,f,House,Private room,2,Real Bed,95,0,0,1,0,1,1125,30,60,90,365,0,0,0,f,flexible,f,f,1,0,0,0,0,0,0,0,0,None,0075-0100
4,8411173,Downtown Silver Spring,"Hi travellers! I live in this peaceful spot, but travel often for work.  A 7 min walk to the Metro, 10 to the city center, 5 min ride to the only two bike routes into DC. 5 min to the Beltway/95, 1 min to 16th street by car.  I love it here.",30369828,31/03/2015,f,1,t,t,"East-West Highway, Silver Spring, MD 20910, United States","Colonial Village, Shepherd Park, North Portal Estates",Silver Spring,MD,20910,"Silver Spring, MD",38.99638163,-77.04154101,t,Townhouse,Entire home/apt,4,Real Bed,50,450,15,2,15,7,1125,16,46,76,351,0,0,0,f,flexible,f,f,1,0,0,0,0,0,0,0,0,None,0050-0075
5,8634774,Exclusive Catamaran Houseboat,DC Water living at its best!  Million dollar view of the water and beautiful yachts.  Around 600 square feet living on bottom and huge top deck.,951119,10/08/2011,f,1,t,t,"V St, Washington, DC 20024, United States","Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",Washington,DC,20024,"Washington, DC",38.86248633,-77.01506201,f,Boat,Entire home/apt,4,Real Bed,99,0,0,2,25,1,1125,26,56,86,361,0,0,0,f,flexible,f,f,1,0,0,0,0,0,0,0,0,None,0075-0100
6,8498095,"Cozy DC Condo, Close to Metro!","Cozy two-bedroom, two full bath condo in the heart of Brightwood! Brand new building. Ten minute walk to Takoma Park metro. Wifi and cable included! Street parking available. No smoking or pets allowed.",4628,25/11/2008,f,1,t,t,"Butternut Street Northwest, Washington, DC 20012, United States","Takoma, Brightwood, Manor Park",Washington,DC,20012,"Washington, DC",38.97473766,-77.02707576,t,Condominium,Entire home/apt,4,Real Bed,100,150,50,2,40,3,1125,13,13,17,21,0,0,0,f,flexible,f,f,1,0,0,0,0,0,0,0,0,None,0100-0125
7,8513660,Warm and Cozy 1 Bedroom Apt,Welcome to my cozy one bedroom one bath apartment.  It is extremely spacious and will easily accommodate two guests.  The closest metro station is Brookland/Catholic University on the Red Line and is accessible to the G8 Bus!,3671500,25/09/2012,f,1,t,f,"Russell Avenue, Mount Rainier, MD 20712, United States","Woodridge, Fort Lincoln, Gateway",Mount Rainier,MD,20712,"Mount Rainier, MD",38.94148563,-76.96848475,t,Apartment,Entire home/apt,2,Real Bed,100,0,0,1,0,1,1125,30,60,90,365,0,0,0,f,flexible,f,f,1,0,0,0,0,0,0,0,0,None,0100-0125
8,8298145,Private room for rent,"The house is located in Capitol Heights Maryland, nearby Washington DC . around 12-15minutes walk to Capitol Heights Metro station .   parking free,  high speed internet access.",5159038,20/02/2013,f,8,t,f,"Larchmont Avenue, Capitol Heights, MD 20743, United States","Capitol View, Marshall Heights, Benning Heights",Capitol Heights,MD,20743,"Capitol Heights, MD",38.88010496,-76.91903054,t,House,Private room,2,Real Bed,38,0,0,1,10,2,180,25,55,85,360,1,15/09/2015,15/09/2015,t,moderate,f,f,1,1,100,10,10,10,10,10,10,Medium,0000-0050
9,295345,Elite Room w/private bath Eden Park,"1 of 9 rooms in Eden Park Guest House in beautiful Takoma Park, the Elite Room comes w complimentary full breakfast, WIFI, queen-size bed, private bathroom w shower (sink is outside of the bathroom), off-street parking, a mini-fridge and microwave",347309,14/01/2011,f,9,t,f,"Carroll Ave, Takoma Park, MD 20912, United States","Takoma, Brightwood, Manor Park",Takoma Park,MD,20912,"Takoma Park, MD",38.97559245,-77.01071326,t,Bed & Breakfast,Private room,2,Real Bed,71,0,10,1,0,2,365,17,47,77,352,4,05/10/2014,25/05/2015,t,flexible,t,t,2,0.33,90,10,9,10,8,10,10,Low,0050-0075
